t_rows2,t_rows2_lab,source,iotables_label_r,ordering_r,c_quadrant
D11,Gross Wages and salaries,naio_10_cp1700,wages_salaries,69,2_4
D29_M_D39,Other net taxes on production,naio_10_cp1700,net_tax_production,70,2_4
K1,Consumption of fixed capital,naio_10_cp1700,consumption_fixed_capital,71,2_4
B2N_B3N,"Operating surplus, net",naio_10_cp1700,surplus_mixed_net,72,2_4
B2G_B3G,"Operating surplus, gross",naio_10_cp1700,surplus_mixed_gross,73,2_4
B3G,Gross mixed income,naio_10_cp1700,mixed_income_gross,74,2_4
B1G,Value added at basic prices,naio_10_cp1700,gva,75,2_4
P1,Output at basic prices,naio_10_cp1700,output,76,2_4
D21_M_D31,Taxes less subsidies on products,naio_10_cp1700,net_tax_production_other,78,2_4
P7_S21,Intra EU imports cif,naio_10_cp1700,import_goods_services_EU,79,2_4
P7_S2111,Imports of goods and services from EMU members (cif),naio_10_cp1700,import_goods_services_MU,80,2_4
P7_S2112,Imports of goods and services from EMU non-members(cif),naio_10_cp1700,import_goods_services_non_MU,81,2_4
P7_S22,Extra EU imports cif,naio_10_cp1700,import_goods_services_non-EU,82,2_4
P7,Imports cif,naio_10_cp1700,import_goods_services,83,2_4
SUPBP,Supply at basic prices,naio_10_cp1700,total_supply_bp,84,2_4
