t_rows2,t_rows2_lab,iotables_label_r,ordering_r
N79,"Travel agency, tour operator reservation service and related activities",travel_agency_services,53
CPA_N80-N82,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",security_investigation,54
N80-82,"Security and investigation, service and landscape, office administrative and support activities",security_investigation,54
CPA_O84,Public administration and defence services; compulsory social security services,public_administration,55
O,Public administration and defence; compulsory social security,public_administration,55
CPA_P85,Education services,education,56
P,Education,education,56
CPA_Q86,Human health services,human_health,57
Q86,Human health activities,human_health,57
CPA_Q87_Q88,Residential care services; social work services without accommodation,residential_care,58
Q87_88,Residential care activities and social work activities without accommodation,residential_care,58
CPA_R90-R92,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services",creative_industries,59
R90-92,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",creative_industries,59
CPA_R93,Sporting services and amusement and recreation services,sport_recreation,60
R93,Sports activities and amusement and recreation activities,sport_recreation,60
CPA_S94,Services furnished by membership organisations,membership_organizations,61
S94,Activities of membership organisations,membership_organizations,61
CPA_S95,Repair services of computers and personal and household goods,repair_computer_durables,62
S95,Repair of computers and personal and household goods,repair_computer_durables,62
CPA_S96,Other personal services,other_personal_services,63
S96,Other personal service activities,other_personal_services,63
CPA_T,Services of households as employers; undifferentiated goods and services produced by households for own use,household_services,64
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,household_services,64
CPA_U,Services provided by extraterritorial organisations and bodies,extraterriorial_organizations,65
U,Activities of extraterritorial organisations and bodies,extraterriorial_organizations,65
CPA_TOTAL,Total,total,66
P2PP,Total intermediate consumption at purchasers' prices,intermediate_consumption_pp,67
D1,Compensation of employees,compensation_employees,68
D11,Gross Wages and salaries,wages_salaries,69
D29_M_D39,Other net taxes on production,net_tax_production_other,70
K1,Consumption of fixed capital,consumption_fixed_capital,71
B2N_B3N,"Operating surplus, net",operating_surplus_net,72
B2G_B3G,"Operating surplus, gross",operating_surplus_gross,73
B3G,Gross mixed income,mixed_income_gross,74
B1G,Value added at basic prices,gva_bp,75
P1,Output at basic prices,output_bp,76
D21_M_D31,Taxes less subsidies on products,net_tax_production,78
P7_S21,Intra EU imports cif,import_goods_services_EU,79
P7_S2111,Imports of goods and services from EMU members (cif),import_goods_services_MU,80
P7_S2112,Imports of goods and services from EMU non-members(cif),import_goods_services_non_MU,81
P7_S22,Extra EU imports cif,import_goods_services_non-EU,82
P7,Imports cif,import_goods_services,83
SUPBP,Supply at basic prices,total_supply_bp,84
